Area,BHK,Bathroom,Furnishing,Parking,Price,Status,Transaction,Type,Per_Sqft,Locality
800,3,2,Semi-Furnished,1,6500000,Ready_to_move,New_Property,Builder_Floor,,Rohini Sector 25
750,2,2,Semi-Furnished,1,5000000,Ready_to_move,New_Property,Apartment,6667,"J R Designers Floors, Rohini Sector 24"
950,2,2,Furnished,1,15500000,Ready_to_move,Resale,Apartment,6667,"Citizen Apartment, Rohini Sector 13"
600,2,2,Semi-Furnished,1,4200000,Ready_to_move,Resale,Builder_Floor,6667,Rohini Sector 24
650,2,2,Semi-Furnished,1,6200000,Ready_to_move,New_Property,Builder_Floor,6667,"Rohini Sector 24 carpet area 650 sqft status Ready to Move floor 4 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2BHK Newly build property for Sale. A House is waiting for a Friendly Family to make it a lovely home.So please come and make his house feel alive once again. read more Contact Agent View Phone No. Share Feedback Garima properties Certified Agent Trusted by Users Genuine Listings Market Knowledge"
1300,4,3,Semi-Furnished,1,15500000,Ready_to_move,New_Property,Builder_Floor,6667,Rohini Sector 24
1350,4,3,Semi-Furnished,1,10000000,Ready_to_move,Resale,Builder_Floor,6667,Rohini Sector 24
650,2,2,Semi-Furnished,1,4000000,Ready_to_move,New_Property,Apartment,6154,"Delhi Homes, Rohini Sector 24"
985,3,3,Unfurnished,1,6800000,Almost_ready,New_Property,Builder_Floor,6154,Rohini Sector 21
1300,4,4,Semi-Furnished,1,15000000,Ready_to_move,New_Property,Builder_Floor,6154,Rohini Sector 22
1100,3,2,Semi-Furnished,1,6200000,Ready_to_move,New_Property,Builder_Floor,6154,Rohini Sector 20
870,3,2,Semi-Furnished,1,7700000,Ready_to_move,New_Property,Builder_Floor,6154,Rohini Sector 25
630,2,2,Semi-Furnished,1,5500000,Ready_to_move,New_Property,Builder_Floor,6154,Rohini Sector 24
660,2,2,Semi-Furnished,1,5000000,Ready_to_move,Resale,Builder_Floor,6154,Rohini Sector 24
344.4448,2,2,Semi-Furnished,1,3310000,Ready_to_move,Resale,Builder_Floor,6154,Rohini Sector 8 How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 32 sqm status Ready to Move floor 1 transaction Resale furnishing Semi-Furnished Contact Now Enquire Now Auction By
660,2,2,Semi-Furnished,1,4700000,Ready_to_move,New_Property,Builder_Floor,6154,"Rohini Sector 25 carpet area 660 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property Near by Ryan international school 2BHK Located on the Ground Floor of a four story building with open parking the flat measure 720 Sq Ft the property is located in a green and plush sector with common parks opposite every lane and bus and auto stand nearby. its situated 1.5 km from the metro station and walkable distance from shopping distance from shopping complex. read more Contact Agent View Phone No. Share Feedback Know your Certified Agent CRISIL Rating No of Employees 9 Kulwant & Company Certified Agent Trusted by Users Genuine Listings 5500+ Buyers Served"
550,2,2,Semi-Furnished,1,4500000,Ready_to_move,New_Property,Builder_Floor,6154,Rohini Sector 22
1100,4,3,Semi-Furnished,1,17000000,Ready_to_move,New_Property,Builder_Floor,6154,Rohini Sector 16
1150,3,3,Semi-Furnished,1,25000000,Ready_to_move,Resale,Apartment,6154,Rohini Sector 14
650,2,2,Semi-Furnished,1,6000000,Ready_to_move,Resale,Builder_Floor,6154,Rohini Sector 24
850,2,2,Semi-Furnished,1,11000000,Ready_to_move,Resale,Apartment,6154,"Mayur Apartment, Rohini Sector 9"
900,3,2,Semi-Furnished,5,4500000,Ready_to_move,Resale,Builder_Floor,6154,"Vijay Vihar, Rohini"
430.556,1,1,Furnished,2,5300000,Ready_to_move,Resale,Apartment,6154,"Rohini Sector 18 carpet area 40 sqm status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing East overlooking Main Road car parking 2 Open bathroom 1 balcony 1 ownership Freehold East Facing Property It an LIG three side corner flat in second floor, having full scope of expansion. interior decorated with 2 textured wall , kajaria tiles , fully modular kitchen, branded bathroom and toilet fittings, LED panel, ac in one bedroom, false ceiling in entire flat.south facing unobstructed view balcony. It was all renovated only 2.5 yrs back so every thing is in brand new condition. read more Contact Owner View Phone No. Share Feedback Owner Pramod"
900,2,2,Semi-Furnished,1,10500000,Ready_to_move,Resale,Apartment,6154,"Prashant Vihar, Rohini"
914.9315,2,2,Semi-Furnished,1,12000000,Ready_to_move,Resale,Builder_Floor,6154,Rohini Sector 5
1100,3,3,Furnished,1,7000000,Ready_to_move,New_Property,Builder_Floor,6364,Rohini Sector 20
800,3,2,Semi-Furnished,1,7000000,Ready_to_move,Resale,Builder_Floor,8750,Rohini Sector 25
500,1,1,Semi-Furnished,1,3400000,Ready_to_move,Resale,Apartment,8750,"Sanskriti Apartment, Rohini Sector 28"
28,2,2,Furnished,1,5000000,Ready_to_move,New_Property,Apartment,8750,Rohini Sector 25
